,playerID,Name,AB,H,average,Empirical Bayes Estimate,alpha1,beta1,PEP,Cumulative Mean
7164,reynoca01,Carl Reynolds,4495,1357,0.301890989989,0.299092465835,1474.98357784,3456.54678928,0.55696219719,0.19219812855
461,bassljo01,Johnny Bassler,2319,704,0.303579128935,0.298303218739,821.983577844,1933.54678928,0.579279438255,0.194488550501
1015,browned02,Eddie Brown,2902,878,0.302549965541,0.298329944113,995.983577844,2342.54678928,0.585409522699,0.196788085632
2294,donovpa01,Patsy Donovan,7496,2253,0.300560298826,0.298893728497,2370.98357784,5561.54678928,0.586428174922,0.199066682645
5382,martivi01,Victor Martinez,6438,1936,0.300714507611,0.298781657532,2053.98357784,4820.54678928,0.588639592668,0.201331641424
6639,pedrodu01,Dustin Pedroia,5594,1683,0.30085806221,0.298644309572,1800.98357784,4229.54678928,0.592352894903,0.203591879884
3241,gorege01,George Gore,5357,1612,0.300914691058,0.298606112028,1729.98357784,4063.54678928,0.593076888503,0.205830299474
4296,jollesm01,Smead Jolley,1710,521,0.304678362573,0.29768205828,638.983577844,1507.54678928,0.595167835216,0.208055085392
131,alomaro01,Roberto Alomar,9073,2724,0.300231455968,0.298856354428,2841.98357784,6667.54678928,0.59733400631,0.210266897443
8018,smithea02,Earl Smith,2264,686,0.303003533569,0.297713215016,803.983577844,1896.54678928,0.604557386726,0.212494527326
3471,halesa01,Sammy Hale,2915,880,0.301886792453,0.297769516766,997.983577844,2353.54678928,0.612963391364,0.214744352405
8405,summaho01,Homer Summa,3001,905,0.301566144618,0.297592593691,1022.98357784,2414.54678928,0.622956560879,0.217024867536
9456,youngmi02,Michael Young,7918,2375,0.299949482192,0.298399008478,2492.98357784,5861.54678928,0.626537504988,0.219299937744
7984,slaugen01,Enos Slaughter,7946,2383,0.299899320413,0.29835663795,2500.98357784,5881.54678928,0.629942407531,0.221568680671
8315,stonege01,George Stone,3274,986,0.301160659743,0.29752716421,1103.98357784,2606.54678928,0.630729290054,0.223816815887
8432,swansev01,Evar Swanson,1892,573,0.302854122622,0.296746646555,690.983577844,1637.54678928,0.636471824251,0.226071761288
615,bergewa01,Wally Berger,5163,1550,0.300213054426,0.297879191376,1667.98357784,3931.54678928,0.637005884678,0.228305098915
